[[14 14 14 ...  9  9  9]
 [15 15 15 ... 10  9  9]
 [15 15 16 ... 10 10 10]
 ...
 [29 29 29 ... 19 18  4]
 [29 29 29 ... 18 18  4]
 [29 29 29 ... 18 18  4]],1.0,mono
[[29 29 29 ... 17 16  3]
 [29 29 29 ... 17 16  3]
 [29 29 29 ... 16 15  3]
 ...
 [21 22 21 ... 12 12 11]
 [20 20 20 ... 12 12 11]
 [19 19 18 ... 12 12 10]],1.0,mono
[[29 29 30 ... 19 18  4]
 [29 30 30 ... 19 18  4]
 [30 30 31 ... 18 18  3]
 ...
 [35 35 35 ... 21 12  0]
 [35 35 35 ... 21 12  0]
 [35 35 35 ... 21 12  0]],1.0,mono
[[35 35 35 ... 20 11  0]
 [35 35 36 ... 20 11  0]
 [36 36 36 ... 20 11  0]
 ...
 [41 41 40 ... 25  3  0]
 [41 40 40 ... 24  3  0]
 [40 40 40 ... 24  3  0]],0.0,mono
[[39 39 40 ... 24  3  0]
 [38 38 39 ... 25  3  0]
 [38 38 39 ... 25  3  0]
 ...
 [42 42 43 ... 24  0  0]
 [42 43 43 ... 23  0  0]
 [42 42 42 ... 23  0  0]],1.0,mono
[[41 41 41 ... 23  0  0]
 [40 41 41 ... 23  0  0]
 [40 41 41 ... 23  0  0]
 ...
 [36 37 37 ... 15  0  0]
 [36 36 37 ... 15  0  0]
 [36 36 36 ... 15  0  0]],1.0,mono
[[36 36 36 ... 15  0  0]
 [36 36 36 ... 15  0  0]
 [37 36 36 ... 15  0  0]
 ...
 [42 41 40 ... 22  0  0]
 [41 40 40 ... 22  0  0]
 [41 40 40 ... 22  0  0]],1.0,mono
[[41 41 41 ... 22  0  0]
 [42 41 41 ... 22  0  0]
 [42 42 41 ... 22  0  0]
 ...
 [35 35 35 ... 26  3  0]
 [34 34 34 ... 26  3  0]
 [34 34 33 ... 26  3  0]],1.0,mono
[[34 34 33 ... 25  3  0]
 [34 34 35 ... 25  3  0]
 [34 35 36 ... 26  3  0]
 ...
 [34 34 33 ... 24 13  0]
 [34 34 33 ... 25 14  0]
 [33 34 33 ... 25 14  0]],0.0,mono
[[32 32 32 ... 24 13  0]
 [31 30 32 ... 25 14  0]
 [31 31 33 ... 25 14  0]
 ...
 [29 29 29 ... 17 16  3]
 [29 29 29 ... 17 17  3]
 [29 29 29 ... 17 17  3]],1.0,mono
[[17 17 16 ... 14 14 13]
 [17 18 17 ... 14 14 14]
 [17 18 17 ... 15 15 15]
 ...
 [34 33 32 ... 30 30 30]
 [33 32 32 ... 30 30 30]
 [32 32 32 ... 29 29 30]],0.0,mono
[[27 27 28 ... 29 29 29]
 [26 27 27 ... 30 29 29]
 [26 26 27 ... 30 30 30]
 ...
 [21 21 21 ... 19 20 21]
 [21 21 21 ... 18 19 20]
 [20 20 20 ... 18 18 19]],1.0,mono
[[33 32 32 ... 29 29 29]
 [33 33 32 ... 29 29 29]
 [34 33 32 ... 29 29 29]
 ...
 [40 41 42 ... 37 36 36]
 [41 42 42 ... 36 36 36]
 [42 42 42 ... 36 36 36]],1.0,mono
[[42 42 41 ... 37 36 36]
 [42 43 42 ... 37 37 36]
 [43 43 44 ... 37 37 36]
 ...
 [46 47 48 ... 41 41 41]
 [45 46 48 ... 40 40 40]
 [46 46 47 ... 40 40 39]],1.0,mono
[[45 46 47 ... 40 40 39]
 [45 46 47 ... 41 40 39]
 [45 45 45 ... 40 40 39]
 ...
